issue_id,table_name,issue_type,field_name,detected_date,resolved_date,days_to_resolve,severity,resolved_flag,source_system
DQ534308,quality_measures,Duplicate_Record,zip_code,2024-11-01,2024-11-17,16,Medium,1,External_Feed
DQ929971,encounters,Duplicate_Record,age,2024-05-06,2024-05-23,17,Medium,1,Epic
DQ003704,patients,Duplicate_Record,total_charges,2023-10-11,2023-11-09,29,Critical,1,Manual_Entry
DQ203877,lab_results,Coding_Error,age,2023-09-09,2023-09-29,20,High,1,Clarity
DQ933112,patient_surveys,Coding_Error,encounter_date,2025-10-22,2025-10-23,1,Critical,1,Manual_Entry
DQ121284,quality_measures,Duplicate_Record,performance_rate,2024-12-11,2024-12-13,2,Critical,1,External_Feed
DQ971823,quality_measures,Missing_Value,performance_rate,2025-05-29,2025-06-10,12,High,1,Manual_Entry
DQ710144,quality_measures,Coding_Error,encounter_date,2024-10-19,2024-11-14,26,Medium,1,Epic
DQ147948,patients,Out_of_Range,age,2025-05-24,2025-06-23,30,Critical,1,External_Feed
DQ455861,patients,Format_Error,performance_rate,2023-10-12,2023-10-24,12,Critical,1,Manual_Entry
DQ674996,quality_measures,Referential_Integrity,patient_id,2023-01-29,2023-02-14,16,High,1,External_Feed
DQ089088,quality_measures,Format_Error,icd10_code,2025-06-25,2025-07-20,25,Critical,1,Manual_Entry
DQ110637,lab_results,Format_Error,zip_code,2024-07-03,2024-07-06,3,High,1,Epic
DQ119276,lab_results,Late_Submission,encounter_date,2025-03-29,2025-03-29,0,Critical,1,Clarity
DQ143352,encounters,Duplicate_Record,icd10_code,2024-11-08,2024-12-03,25,Medium,1,Manual_Entry
DQ663634,patients,Coding_Error,encounter_date,2024-10-30,2024-11-22,23,Critical,1,Clarity
DQ411502,quality_measures,Out_of_Range,total_charges,2025-05-02,2025-05-14,12,Medium,1,Manual_Entry
DQ293163,quality_measures,Late_Submission,encounter_date,2025-12-30,2026-01-27,28,Low,1,Epic
DQ429299,encounters,Duplicate_Record,zip_code,2023-05-28,2023-06-04,7,Low,1,External_Feed
DQ271285,patient_surveys,Format_Error,age,2025-07-24,2025-08-11,18,Low,1,External_Feed
DQ206075,patient_surveys,Late_Submission,zip_code,2025-03-26,2025-04-12,17,Critical,1,External_Feed
DQ423596,quality_measures,Missing_Value,performance_rate,2025-11-26,2025-12-05,9,Medium,1,Clarity
DQ905096,quality_measures,Format_Error,icd10_code,2024-01-12,2024-01-14,2,Medium,1,External_Feed
DQ955835,lab_results,Referential_Integrity,encounter_date,2023-10-21,2023-11-06,16,High,1,Clarity
DQ537389,patient_surveys,Duplicate_Record,performance_rate,2023-07-20,2023-07-23,3,Medium,1,Clarity
DQ789015,quality_measures,Missing_Value,age,2024-07-29,2024-08-15,17,Critical,0,Epic
DQ483396,quality_measures,Duplicate_Record,total_charges,2023-06-28,2023-07-14,16,High,1,Manual_Entry
DQ577954,patient_surveys,Late_Submission,zip_code,2023-12-02,2023-12-03,1,High,1,Epic
DQ594947,quality_measures,Coding_Error,total_charges,2025-04-09,2025-04-23,14,Low,1,Epic
DQ332310,lab_results,Format_Error,encounter_date,2023-06-12,2023-06-13,1,High,1,Epic
DQ715283,patient_surveys,Late_Submission,icd10_code,2023-03-24,2023-04-20,27,Critical,1,Epic
DQ366548,quality_measures,Coding_Error,icd10_code,2024-12-03,2024-12-03,0,Low,1,Epic
DQ035527,encounters,Out_of_Range,age,2025-06-26,2025-07-14,18,High,1,Clarity
DQ516485,patients,Coding_Error,total_charges,2023-06-08,2023-06-22,14,High,1,Manual_Entry
DQ728625,patient_surveys,Missing_Value,icd10_code,2025-07-23,2025-08-19,27,Critical,0,Clarity
DQ196179,patients,Missing_Value,icd10_code,2025-03-05,2025-03-14,9,Medium,1,Clarity
DQ619284,quality_measures,Missing_Value,age,2024-10-29,2024-11-20,22,Medium,1,Clarity
DQ857557,patient_surveys,Duplicate_Record,icd10_code,2023-02-11,2023-02-19,8,Critical,1,Epic
DQ460524,patient_surveys,Out_of_Range,zip_code,2024-02-14,2024-02-26,12,High,1,Manual_Entry
DQ826812,encounters,Referential_Integrity,age,2024-05-25,2024-06-03,9,Low,1,Epic
DQ122733,quality_measures,Format_Error,total_charges,2024-01-02,2024-01-16,14,High,1,External_Feed
DQ857214,lab_results,Missing_Value,age,2024-10-26,2024-11-12,17,Low,1,Epic
DQ076995,lab_results,Duplicate_Record,zip_code,2024-03-28,2024-04-12,15,High,0,Manual_Entry
DQ425160,encounters,Late_Submission,performance_rate,2023-12-30,2024-01-27,28,Low,1,Epic
